id,puzzle_type,solution_state,initial_state,num_wildcards
0,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;D;A;E;B;A;B;C;A;C;A;D;C;D;F;F;F;E;E;B;F;B;C,0
1,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;C;B;B;E;F;A;F;D;B;F;F;E;B;D;A;A;C;D;C;E;A;C,0
2,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;F;C;C;F;A;D;D;B;B;A;F;E;B;C;A;A;B;D;F;E;E;C;D,0
3,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;C;E;C;F;D;E;D;A;A;F;A;B;D;B;F;E;D;B;F;B;C;C;E,0
4,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;D;E;D;A;E;F;B;A;C;F;D;F;D;C;A;F;B;C;C;B;E;B;A,0
5,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;F;E;E;A;A;C;F;D;B;C;F;E;C;B;D;D;B;E;A;B;D;F;C,0
6,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,F;C;B;E;E;A;F;F;D;A;C;D;B;E;C;E;D;A;B;C;B;D;F;A,0
7,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;A;D;B;F;A;D;F;E;D;B;D;E;F;E;B;B;C;A;A;C;C;C;F,0
8,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;A;E;B;F;C;F;E;A;D;A;F;E;A;B;C;C;D;D;B;E;B;F;C,0
9,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;C;C;F;A;F;F;B;B;C;F;A;A;E;D;C;B;A;E;D;D;E;B,0
10,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,C;D;A;C;E;F;A;B;D;F;F;B;E;B;E;D;F;D;C;B;C;E;A;A,0
11,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,E;D;C;F;B;E;C;E;D;A;D;F;C;F;B;A;B;A;B;F;D;A;E;C,0
12,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;D;C;F;B;E;D;E;D;E;A;C;A;C;F;B;D;A;F;C;F;B;E;B,0
13,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;B;D;C;E;F;B;A;D;E;D;A;F;D;B;A;E;F;C;F;C;C;B;E,0
14,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;A;C;D;B;E;B;B;A;C;E;C;D;C;F;D;F;A;E;E;F;A;F;B,0
15,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,B;C;D;B;E;C;F;D;A;F;A;A;D;A;D;B;E;F;C;B;E;E;F;C,0
16,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,A;F;B;E;E;A;E;A;D;E;D;D;D;B;F;F;C;A;B;F;B;C;C;C,0
17,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,F;A;D;F;C;E;E;D;D;B;A;C;C;D;F;E;C;A;B;B;A;E;F;B,0
18,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,B;A;D;A;A;E;F;B;B;C;F;F;D;C;D;C;A;E;F;D;C;E;B;E,0
19,cube_2/2/2,A;A;A;A;B;B;B;B;C;C;C;C;D;D;D;D;E;E;E;E;F;F;F;F,D;E;F;B;E;C;E;D;A;D;C;A;F;C;E;C;F;B;F;B;A;A;B;D,0
20,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N22;N0;N1;N2;N12;N17;N20;N5;N4;N13;N3;N21;N16;N18;N7;N23;N15;N9;N11;N6;N19;N8;N14;N10,0
21,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N5;N7;N15;N13;N18;N16;N14;N4;N0;N21;N17;N9;N10;N8;N1;N20;N3;N22;N19;N11;N23;N2;N6;N12,0
22,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N13;N8;N7;N14;N10;N11;N17;N22;N23;N3;N15;N12;N5;N16;N9;N6;N0;N21;N20;N4;N2;N18;N19;N1,0
23,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N20;N14;N9;N8;N1;N3;N4;N22;N5;N11;N15;N16;N23;N6;N13;N7;N19;N12;N10;N2;N17;N18;N21;N0,0
24,cube_2/2/2,N0;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16;N17;N18;N19;N20;N21;N22;N23,N10;N0;N2;N14;N4;N11;N15;N3;N23;N13;N8;N9;N16;N7;N1;N19;N21;N17;N6;N22;N18;N5;N20;N12,0
25,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,C;F;B;D;F;A;E;D;D;E;D;C;E;A;B;F;C;A;F;E;A;B;B;C,0
26,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,C;E;B;D;F;A;A;D;D;E;D;A;F;B;E;C;C;F;C;F;B;B;A;E,0
27,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,F;B;F;A;E;E;A;B;E;D;C;D;D;B;A;A;F;E;C;F;B;C;C;D,0
28,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,F;C;A;A;E;D;C;F;D;B;A;D;C;F;B;F;B;E;E;C;A;B;E;D,0
29,cube_2/2/2,A;B;A;B;B;C;B;C;C;D;C;D;D;E;D;E;E;F;E;F;F;A;F;A,D;F;B;C;F;A;D;E;C;B;A;B;A;D;C;E;B;F;E;A;D;E;F;C,0
30,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,A;A;E;C;F;F;C;C;C;D;B;D;D;B;A;B;F;F;A;E;B;D;E;B;D;B;B;A;B;D;F;D;F;F;A;A;E;A;F;C;C;C;C;D;F;C;D;E;E;A;E;B;E;E,0
31,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,C;B;E;B;A;B;A;F;F;E;D;D;F;E;A;F;C;B;C;F;B;B;B;D;C;C;F;A;E;A;A;C;A;D;D;D;B;C;D;E;D;C;C;E;B;E;A;F;F;F;D;A;E;E,6
32,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,F;B;B;E;E;D;B;E;E;F;A;D;C;D;A;B;E;A;F;C;A;C;F;F;D;A;B;E;C;D;E;B;D;C;F;A;C;B;E;A;A;F;E;F;C;A;D;C;D;C;B;D;B;F,0
33,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,C;A;F;D;F;A;B;F;D;F;B;A;C;B;B;F;A;A;C;D;C;E;E;D;E;E;A;B;C;A;F;D;B;B;D;D;B;C;E;C;C;F;E;A;D;C;B;D;E;A;F;F;E;E,6
34,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;C;F;F;D;D;C;A;B;A;B;A;E;A;F;E;B;C;E;C;D;D;C;A;B;D;A;C;F;E;C;F;B;E;D;F;F;B;D;E;E;A;B;F;D;F;C;A;E;B;E;C;A;D,0
35,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,D;C;C;E;D;E;B;B;B;E;C;C;F;C;F;C;F;A;A;A;D;E;F;D;E;C;F;A;D;F;A;E;A;E;D;F;E;D;A;B;A;C;C;E;B;F;B;D;B;B;A;D;F;B,0
36,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;C;D;A;D;A;A;E;A;B;B;B;F;A;E;D;C;B;C;D;C;F;C;C;F;A;E;F;F;F;B;F;D;D;F;D;C;B;E;E;E;B;E;A;A;C;D;E;C;B;E;F;D;A,0
37,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;D;D;A;F;D;D;C;A;E;D;C;A;B;B;D;B;F;D;F;E;E;E;C;E;F;C;A;E;A;F;D;A;B;F;B;E;B;F;E;C;D;C;A;C;F;C;B;C;A;E;F;B;A,0
38,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,F;C;B;F;A;D;A;D;F;D;E;B;F;E;D;D;D;B;E;A;A;F;B;C;C;B;B;E;B;D;A;C;F;A;A;E;C;B;C;C;D;E;F;B;E;A;C;F;E;F;A;D;E;C,6
39,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,D;D;A;E;D;F;D;A;F;C;D;B;A;F;A;C;B;A;E;C;B;B;E;E;E;B;D;C;F;C;D;A;C;E;E;E;F;F;A;A;C;E;A;C;B;F;F;D;D;B;C;B;B;F,0
40,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,E;E;B;E;E;A;C;F;B;D;C;C;E;B;B;B;C;E;A;B;E;C;A;F;D;D;C;F;B;D;D;D;D;A;F;A;F;A;F;E;F;F;B;D;F;C;A;A;A;C;C;E;B;D,4
41,cube_3/3/3,A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F,B;B;A;F;E;A;B;F;C;E;D;F;E;F;D;E;A;E;D;C;C;A;B;C;B;E;E;D;C;F;D;A;F;F;E;C;C;B;A;C;D;F;B;D;A;D;B;F;E;C;A;A;B;D,0
